Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Device Memory Write Transactions,Device Memory Read Transactions,L2 Cache Hit Rate(%),Total number of global load requests from Multiprocessor,Total number of local load requests from Multiprocessor,Total number of local store requests from Multiprocessor
"memset (0)",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorAddConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorAddConstantOp<float>, float, unsigned int>, float, float)",56,1012,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply3<TensorAddCMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",56,1087,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=2, int=1>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",102,1193,10,0,0,63.956,0,26,0,0,0,0,25,189000000,189000000,189000000,39,297000000,35.804,0,0,0,7848,0,0,0,0,0,100,40,153,22.374,26,0,0
"void kernelPointwiseApply2<Tensor_sqrt_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_sqrt_Float_Op)",56,1212,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorMulConstantOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorMulConstantOp<float>, float, unsigned int>, float, float)",112,1254,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",1,1280,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,20000000,0,0,0,0,2058,0,0,0,0,0,0,8,8,0,0,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",1042,1319,11,0,0,98.73,0,2165,0,8659,0,0,2164,10878000000,5439000000,10878000000,1082,5439000000,49.446,0,8659,0,225959,0,0,0,0,0,98.73,382,2402,0,2165,0,0
"void kernelPointwiseApply2<TensorCAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorCAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",56,1338,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=1, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",63,1367,8,0,0,100,0,26,0,0,3.214,0,31,162000000,162000000,209000000,25,162000000,43.833,0,0,0,7848,0,0,0,0,0,77.877,10,181,2.028,26,0,0
"void kernelPointwiseApply2<CopyOp<float, float>, float, float, unsigned int, int=2, int=2>(OffsetInfo<float, float, float>, OffsetInfo<CopyOp<float, float>, float, unsigned int>, float, float)",42,1385,10,0,0,63.757,0,26,0,0,6.293,0,35,231000000,231000000,352000000,39,364000000,33.859,0,0,0,10448,0,0,0,0,0,65.789,47,224,22.86,26,0,0
"void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)",56,1395,10,0,0,98.003,0,2260,0,9041,0,0,2260,13090000000,6545000000,13091000000,1130,6545000000,48.889,0,9041,0,181706,0,0,0,0,0,98.003,362,2530,33.333,2260,0,0
"void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",42,1427,11,0,0,100,0,1152,0,4600,0,0,1437,9323000000,4661000000,11649000000,575,4661000000,46.56,0,4600,0,179432,0,0,0,0,0,80.028,112,1604,4.274,1152,0,0
